==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:25:39
==============================================================
  File              : logs\echo_2026-05-17_14-25-39.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:25:54.465] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.6 risk=0.73
[14:25:54.482] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.6 risk=0.73
[14:25:54.499] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.5 risk=0.73
[14:25:54.516] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.5 risk=0.73
[14:25:54.532] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.4 risk=0.73
[14:25:54.533] [STATS               ]          | pop=12  avg_hunger= 58.0  avg_energy= 44.1  hungry=6  social_events=0
[14:25:54.549] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.4 risk=0.73
[14:25:54.565] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.3 risk=0.73
[14:25:54.582] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.3 risk=0.73
[14:25:54.598] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.2 risk=0.73
[14:25:54.614] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.2 risk=0.73
[14:25:54.631] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.1 risk=0.73
[14:25:54.648] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.1 risk=0.73
[14:25:54.664] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.0 risk=0.73
[14:25:54.680] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.0 risk=0.73
[14:25:54.697] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=13.0 risk=0.73
[14:25:54.714] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.9 risk=0.73
[14:25:54.731] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.9 risk=0.73
[14:25:54.748] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.8 risk=0.73
[14:25:54.765] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.8 risk=0.73
[14:25:54.781] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.7 risk=0.73
[14:25:54.798] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.7 risk=0.73
[14:25:54.815] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.6 risk=0.73
[14:25:54.831] [FOOD_FOUND          ] ECHO-02  | ate at (1177, 602)  total=2
[14:25:54.831] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.6 risk=0.73
[14:25:54.848] [STATE_CHANGE        ] ECHO-02  | SEEK_FOOD (6.8s) -> REST  [normal]  h=12 e=26 s=60
[14:25:54.849] [REST_REASON         ] ECHO-02  | low_energy | energy=26.4 laziness=0.53
[14:25:54.850] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.5 risk=0.73
[14:25:54.866] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.5 risk=0.73
[14:25:54.883] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.4 risk=0.73
[14:25:54.900] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.4 risk=0.73
[14:25:54.917] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.3 risk=0.73
[14:25:54.933] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.3 risk=0.73
[14:25:54.950] [STATE_CHANGE        ] ECHO-03  | REST (2.0s) -> WANDER  [normal]  h=46 e=65 s=62
[14:25:54.950] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.2 risk=0.73
[14:25:54.967] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.2 risk=0.73
[14:25:54.984] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.1 risk=0.73
[14:25:55.002] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.1 risk=0.73
[14:25:55.019] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.1 risk=0.73
[14:25:55.036] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.0 risk=0.73
[14:25:55.052] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=12.0 risk=0.73
[14:25:55.068] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.9 risk=0.73
[14:25:55.085] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.9 risk=0.73
[14:25:55.101] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.8 risk=0.73
[14:25:55.118] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.8 risk=0.73
[14:25:55.135] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.7 risk=0.73
[14:25:55.152] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.7 risk=0.73
[14:25:55.169] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.6 risk=0.73
[14:25:55.186] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.6 risk=0.73
[14:25:55.203] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.5 risk=0.73
[14:25:55.220] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.5 risk=0.73
[14:25:55.237] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.4 risk=0.73
[14:25:55.255] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.4 risk=0.73
[14:25:55.271] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.3 risk=0.73
[14:25:55.287] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.3 risk=0.73
[14:25:55.288] [STATE_CHANGE        ] ECHO-10  | WANDER (2.0s) -> REST  [normal]  h=30 e=31 s=47
[14:25:55.288] [REST_REASON         ] ECHO-10  | low_energy | energy=30.8 laziness=0.40
[14:25:55.303] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.3 risk=0.73
[14:25:55.319] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.2 risk=0.73
[14:25:55.336] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.2 risk=0.73
[14:25:55.353] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.1 risk=0.73
[14:25:55.371] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.1 risk=0.73
[14:25:55.391] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.0 risk=0.73
[14:25:55.408] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=11.0 risk=0.73
[14:25:55.425] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=10.9 risk=0.73
[14:25:55.442] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=10.9 risk=0.73
[14:25:55.458] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=10.8 risk=0.73
[14:25:55.459] [IDLE_ENTER          ] ECHO-09  | pausing for 3.6s
[14:25:55.474] [FOOD_FOUND          ] ECHO-01  | ate at (545, 127)  total=2
[14:25:55.474] [SURVIVAL_DECISION   ] ECHO-04  | risky_food_search | energy=10.8 risk=0.73
[14:25:55.490] [STATE_CHANGE        ] ECHO-01  | SEEK_FOOD (9.8s) -> REST  [normal]  h=24 e=21 s=36
