==============================================================
  PROJECT ECHO  –  Session 2026-05-17 14:40:52
==============================================================
  File              : logs\echo_2026-05-17_14-40-52.log
--------------------------------------------------------------
  Initial population: 12
  Biomes            : 5  →  fertile(3.0x)  fertile(3.0x)  barren(0.2x)  neutral(1.0x)  neutral(1.0x)
  Initial food      : 20  (cap 60, spawn 3 / 3.0s)
--------------------------------------------------------------
  Hunger decay      : 4.0/s
  Energy wander/seek: 1.2/2.8 /s
  Energy rest rate  : 18.0/s
  Target FPS        : 60
==============================================================

[14:40:54.738] [STATE_CHANGE        ] ECHO-01  | WANDER (2.0s) -> SEEK_FOOD  [normal]  h=56 e=60 s=53
[14:40:56.124] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.125] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.127] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.127] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.128] [STATE_CHANGE        ] ECHO-11  | WANDER (3.4s) -> SOCIALIZE  [normal]  h=43 e=62 s=26
[14:40:56.128] [SOCIAL              ] ECHO-11  | interacting with ECHO-02  total=1
[14:40:56.140] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.142] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.143] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.143] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.157] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.157] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.159] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.160] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.173] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.174] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.175] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.177] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.189] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.190] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.190] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.190] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.206] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
[14:40:56.207] [FOOD_CONTEST        ] ECHO-06  | food at (782,448)
[14:40:56.208] [FOOD_CONTEST        ] ECHO-09  | food at (405,500)
[14:40:56.208] [FOOD_CONTEST        ] ECHO-10  | food at (405,500)
[14:40:56.223] [FOOD_CONTEST        ] ECHO-01  | food at (782,448)
