
============================================================
  PROJECT ECHO – Session 2026-05-17 13:00:12
============================================================
[13:00:39.004] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.105] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.121] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.169] [FOOD_FOUND   ] ECHO-07  | ate at (758, 366)
[13:00:39.169] [FOOD_FOUND   ] ECHO-08  | ate at (19, 55)
[13:00:39.217] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.234] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.332] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.349] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.450] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.467] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.568] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.584] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.683] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.700] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.799] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.816] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.917] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:39.934] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:39.967] [FOOD_FOUND   ] ECHO-04  | ate at (814, 429)
[13:00:39.984] [STATE_CHANGE ] ECHO-04  | SEEK_FOOD -> REST
[13:00:40.034] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.051] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.151] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.168] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.269] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.287] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.386] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.403] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.489] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.506] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.606] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.621] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.722] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.739] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.839] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> REST
[13:00:40.855] [STATE_CHANGE ] ECHO-03  | REST -> SOCIALIZE
[13:00:40.889] [STATE_CHANGE ] ECHO-03  | SOCIALIZE -> SEEK_FOOD
[13:00:40.889] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
[13:00:40.890] [SOCIAL       ] ECHO-04  | interacting with ECHO-07
[13:00:40.906] [STATE_CHANGE ] ECHO-04  | SOCIALIZE -> REST
[13:00:40.923] [STATE_CHANGE ] ECHO-04  | REST -> SOCIALIZE
